Source,Target,Weight
1willferguson,prudhommejeff,1
2thetable,aspeninstitute,1
2thetable,adpaascu,1
2thetable,talking_eyes,1
2thetable,essentialprtnrs,1
2thetable,braverangels,1
2thetable,villagesquareus,1
2thetable,healthydem,1
2thetable,allsidesnow,1
2thetable,civilgovernment,1
2thetable,coffeepartyusa,1
2thetable,pantsuitpolitic,1
2thetable,gencitizen,1
2thetable,nicdinstitute,1
2thetable,villagesquarefl,1
2thetable,emergingissues,1
2thetable,bfcircles,1
2thetable,ampublicsquare,1
2thetable,philneisser,1
2thetable,evdem,1
2thetable,livingroomconvo,1
2thetable,unitedntogether,1
2thetable,ncdd,1
2thetable,procon_org,1
2thetable,ncoc,1
2thetable,nationalcivic,1
2thetable,bpc_bipartisan,1
3minstoryteller,aspeninstitute,1
3minstoryteller,beyond_conflict,1
3minstoryteller,peacealliance,1
3minstoryteller,thecharter,1
3minstoryteller,livingroomconvo,1
3minstoryteller,jacobzhess,1
3minstoryteller,onbeing,1
3minstoryteller,listenfirstproj,1
3minstoryteller,some1totellitto,1
3minstoryteller,narrative4,1
3minstoryteller,pantsuitpolitic,1
3minstoryteller,ncdd,1
3minstoryteller,citizenuniv,1
3minstoryteller,ucfreelistening,1
activistheology,aspeninstitute,1
adaemmett,unitedntogether,1
adaemmett,ucfreelistening,1
adaemmett,livingroomconvo,1
adaemmett,essentialprtnrs,1
adamdavisohm,healthydem,1
adamdavisohm,askbigqs,1
adamdavisohm,mcarcasson,1
adamdavisohm,ilhumanities,1
adamdavisohm,unitedntogether,1
adamdavisohm,onbeing,1
adialoguep,nicdinstitute,1
adialoguep,afpeacebuilding,1
adialoguep,jacobzhess,1
adialoguep,daysofdialogue,1
adialoguep,2thetable,1
adialoguep,mccourtneyinst,1
adialoguep,purpleamericaus,1
adialoguep,carllunaman,1
adialoguep,ncdd,1
adialoguep,civilgovernment,1
adialoguep,commongood,1
adialoguep,listenfirstproj,1
adialoguep,evdem,1
adialoguep,livingroomconvo,1
adialoguep,publicdialoguec,1
adialoguep,fixitshow,1
adialoguep,ampublicsquare,1
adialoguep,ucfreelistening,1
adialoguep,braverangels,1
adialoguep,bigtentnation,1
adialoguep,hnmcp,1
adialoguep,representus,1
adialoguep,some1totellitto,1
adialoguep,trustedsharing,1
adialoguep,essentialprtnrs,1
adialoguep,allsidesnow,1
adialoguep,electedwomen,1
adialoguep,villagesquarefl,1
adialoguep,publicagenda,1
adialoguep,thecommon_party,1
adialoguep,convocafe,1
adialoguep,niforums,1
adialoguep,narrative4,1
adialoguep,aspeninstitute,1
adialoguep,mcarcasson,1
adialoguep,ncoc,1
adialoguep,bfcircles,1
adialoguep,unitedntogether,1
adialoguep,healthydem,1
adialoguep,intlistening,1
adialoguep,villagesquareus,1
adialoguep,gpharvard,1
adialoguep,onbeing,1
adpaascu,villagesquareus,1
adpaascu,unitedntogether,1
adpaascu,citizenuniv,1
adpaascu,fairvote,1
adpaascu,publicagenda,1
adpaascu,kitchentable_d,1
adpaascu,askbigqs,1
adpaascu,essentialprtnrs,1
adpaascu,usafmc,1
adpaascu,convocafe,1
adpaascu,civichall,1
adpaascu,campus_leaders,1
adpaascu,gpharvard,1
adpaascu,mcarcasson,1
adpaascu,nationbuilder,1
adpaascu,niforums,1
adpaascu,talking_eyes,1
adpaascu,ballotready,1
adpaascu,studentpirgs,1
adpaascu,publicdialoguec,1
adpaascu,npvote,1
adpaascu,aspeninstitute,1
adpaascu,2thetable,1
adpaascu,aspencitizen,1
adpaascu,nicdinstitute,1
adpaascu,bigtentnation,1
