Number,Source_node,Unique,Status,Count,bridgingcommunities,avgmedia,sdmedia,dem_minus_rep,Avgmedia_centered,sq_dem_minus_rep,
1,danni816,,Bridging,"4,820",1,2.603352,1.210014,49,0.099371,2401,
2,bigtentnation,,Bridging,"3,389",2,2.713499,1.152538,42,0.209518,1764,
3,purpleamericaus,,Bridging,"1,596",3,2.869697,1.314155,39,0.365716,1521,
4,asbcouncil,,Bridging,"3,594",2,2.315789,0.8800333,37,-0.188192,1369,
5,bpc_bipartisan,,Bridging,"2,774",2,2.864943,1.219787,34,0.360962,1156,
6,younginvincible,,Bridging,"2,572",2,1.888889,0.7951573,32,-0.615092,1024,
7,congressfdn,,Bridging,"1,324",2,3.095238,0.9952267,31,0.591257,961,
8,prudhommejeff,,Bridging,"1,883",3,1.993711,0.8019489,29,-0.51027,841,
9,daysofdialogue,,Bridging,"2,189",1,2.16129,0.9123586,28,-0.342691,784,
10,concordanceproj,,Bridging,118,1,3.285714,0.48795,26,0.781733,676,
11,electedwomen,,Bridging,"1,765",2,2.8,0.4472136,26,0.296019,676,
12,fairvote,,Bridging,"11,444",2,2.446043,1.088332,26,-0.057938,676,
13,leadershipnp,,Bridging,814,2,2.474576,0.8286151,25,-0.029405,625,
14,nicdinstitute,,Bridging,"4,710",2,2.627832,1.111946,25,0.123851,625,
15,gencitizen,,Bridging,"3,445",2,2.347032,0.9051266,24,-0.156949,576,
16,usafmc,,Bridging,"1,449",2,2.912281,1.021346,23,0.4083,529,
17,uscpolfuture,,Bridging,"1,733",2,2.5875,1.075548,22,0.083519,484,
18,civilgovernment,,Bridging,753,1,2.9,0.742211,21,0.396019,441,
19,compassion2020,,Bridging,217,1,2.244444,0.5699717,19,-0.259537,361,
20,issueonereform,,Bridging,"2,168",2,3.095238,1.230588,19,0.591257,361,
21,movecafwd,,Bridging,"6,140",2,3.037037,1.182049,16,0.533056,256,
22,coffeepartyusa,,Bridging,"2,443",2,2.302799,1.096576,14,-0.201182,196,
23,americaunitypr1,,Bridging,331,1,2.782051,1.001964,13,0.27807,169,
24,cspc_dc,,Bridging,"1,337",2,2.72093,1.114761,13,0.216949,169,
25,mactionproject,,Bridging,"1,403",2,2.666667,1.046107,13,0.162686,169,
26,pbproject,,Bridging,"2,501",2,2.247619,1.067472,12,-0.256362,144,
27,usapromise,,Bridging,"1,093",2,2.888889,0.9058216,12,0.384908,144,
28,fulcrum_us,,Bridging,850,2,2.696079,0.7843917,11,0.192098,121,
29,peaceislandsct,,Bridging,341,4,2.533333,0.421637,10,0.029352,100,
30,aspeninstitute,,Bridging,"3,806",1,2.350877,0.9655636,9,-0.153104,81,
